,overall,pace,shooting,passing,dribbling,defending,physic
3820,72,77.0,56.0,69.0,73.0,71.0,64.0
3822,72,46.0,68.0,78.0,68.0,63.0,64.0
3823,72,71.0,71.0,62.0,73.0,37.0,68.0
3824,72,82.0,39.0,58.0,62.0,69.0,78.0
3825,72,73.0,68.0,72.0,73.0,38.0,59.0
3826,72,49.0,59.0,73.0,64.0,67.0,77.0
3827,72,54.0,71.0,60.0,66.0,36.0,68.0
3828,72,49.0,41.0,69.0,74.0,65.0,58.0
3829,72,71.0,44.0,66.0,69.0,72.0,69.0
3830,72,57.0,36.0,50.0,44.0,70.0,82.0
3831,72,72.0,71.0,71.0,74.0,35.0,70.0
3832,72,58.0,74.0,58.0,64.0,30.0,71.0
3833,72,62.0,62.0,72.0,70.0,66.0,77.0
3834,72,64.0,42.0,62.0,61.0,72.0,73.0
3835,72,67.0,47.0,67.0,61.0,72.0,73.0
3836,72,68.0,67.0,74.0,73.0,65.0,68.0
3837,72,77.0,67.0,68.0,77.0,30.0,49.0
3838,72,70.0,69.0,62.0,72.0,31.0,70.0
3839,72,64.0,69.0,71.0,71.0,66.0,75.0
3840,72,71.0,53.0,72.0,74.0,68.0,72.0
3842,72,35.0,52.0,65.0,60.0,72.0,71.0
3843,72,68.0,65.0,73.0,73.0,61.0,66.0
3844,72,91.0,63.0,65.0,74.0,25.0,53.0
3845,72,66.0,62.0,72.0,74.0,39.0,55.0
3847,72,68.0,70.0,70.0,73.0,40.0,75.0
3848,72,43.0,27.0,56.0,55.0,71.0,79.0
3849,72,65.0,70.0,52.0,70.0,23.0,64.0
3850,72,73.0,59.0,67.0,67.0,68.0,79.0
3851,72,81.0,39.0,63.0,66.0,69.0,76.0
3852,72,64.0,47.0,67.0,70.0,70.0,71.0
3853,72,55.0,65.0,73.0,71.0,67.0,67.0
3854,72,64.0,61.0,70.0,72.0,69.0,70.0
3855,72,89.0,67.0,66.0,73.0,29.0,63.0
3856,72,79.0,74.0,70.0,77.0,42.0,56.0
3857,72,70.0,67.0,71.0,70.0,65.0,72.0
3858,72,73.0,70.0,66.0,72.0,34.0,71.0
3859,72,73.0,64.0,71.0,73.0,56.0,67.0
3860,72,84.0,67.0,62.0,75.0,32.0,67.0
3862,72,67.0,48.0,65.0,69.0,71.0,76.0
3863,72,51.0,55.0,56.0,51.0,71.0,77.0
3864,72,86.0,67.0,66.0,75.0,44.0,64.0
3865,72,61.0,43.0,68.0,68.0,71.0,69.0
3866,72,68.0,69.0,74.0,74.0,61.0,76.0
3867,72,79.0,68.0,61.0,72.0,35.0,72.0
3868,72,66.0,71.0,69.0,72.0,63.0,63.0
3869,72,72.0,27.0,55.0,53.0,70.0,83.0
3870,72,57.0,40.0,45.0,52.0,73.0,78.0
3871,72,77.0,68.0,70.0,72.0,59.0,69.0
3872,72,67.0,70.0,63.0,73.0,43.0,71.0
3873,72,54.0,55.0,64.0,72.0,71.0,75.0
3874,72,86.0,70.0,66.0,72.0,49.0,76.0
3875,72,68.0,65.0,73.0,75.0,37.0,66.0
3876,72,56.0,36.0,54.0,43.0,70.0,76.0
3877,72,49.0,41.0,63.0,60.0,71.0,69.0
3878,72,76.0,31.0,64.0,67.0,68.0,76.0
3879,72,53.0,47.0,65.0,66.0,70.0,71.0
3880,72,87.0,72.0,65.0,68.0,31.0,72.0
3881,72,73.0,52.0,66.0,69.0,70.0,69.0
3882,72,75.0,69.0,68.0,74.0,41.0,61.0
3883,72,75.0,64.0,67.0,78.0,38.0,60.0
3884,72,71.0,53.0,66.0,69.0,68.0,77.0
3885,72,77.0,68.0,67.0,76.0,33.0,54.0
3886,72,78.0,64.0,66.0,80.0,34.0,52.0
3887,72,76.0,40.0,64.0,73.0,72.0,71.0
3888,72,81.0,66.0,69.0,73.0,28.0,59.0
3889,72,56.0,71.0,58.0,70.0,48.0,70.0
3890,72,69.0,60.0,71.0,74.0,64.0,66.0
3891,72,71.0,72.0,57.0,69.0,33.0,73.0
3892,72,86.0,70.0,61.0,74.0,52.0,73.0
3893,72,74.0,61.0,69.0,72.0,67.0,68.0
3894,72,63.0,33.0,49.0,56.0,70.0,80.0
3895,72,67.0,58.0,69.0,70.0,67.0,76.0
3896,72,73.0,46.0,67.0,73.0,68.0,69.0
3897,72,78.0,63.0,66.0,73.0,68.0,66.0
3898,72,85.0,67.0,69.0,74.0,34.0,60.0
3899,72,75.0,63.0,66.0,78.0,38.0,40.0
3900,72,59.0,63.0,73.0,68.0,62.0,71.0
3901,72,82.0,58.0,72.0,70.0,41.0,59.0
3902,72,73.0,60.0,69.0,68.0,70.0,66.0
3903,72,68.0,72.0,71.0,77.0,49.0,67.0
3904,72,74.0,71.0,64.0,71.0,27.0,72.0
3905,72,67.0,72.0,63.0,72.0,36.0,61.0
3906,72,72.0,71.0,56.0,69.0,24.0,69.0
3907,72,48.0,48.0,57.0,54.0,71.0,78.0
3908,72,72.0,48.0,67.0,73.0,68.0,67.0
3909,72,71.0,71.0,71.0,72.0,40.0,66.0
3910,72,57.0,50.0,58.0,62.0,72.0,72.0
3911,72,57.0,69.0,73.0,74.0,50.0,66.0
3912,72,66.0,37.0,53.0,55.0,70.0,80.0
3913,72,81.0,46.0,69.0,72.0,66.0,69.0
3914,72,77.0,48.0,61.0,69.0,69.0,70.0
3915,72,53.0,38.0,57.0,61.0,71.0,71.0
3916,72,81.0,49.0,66.0,69.0,67.0,79.0
3917,72,81.0,70.0,64.0,78.0,42.0,57.0
3918,72,77.0,74.0,61.0,75.0,35.0,56.0
3919,72,67.0,62.0,62.0,67.0,70.0,75.0
3920,72,89.0,68.0,65.0,74.0,29.0,58.0
3921,72,75.0,49.0,67.0,71.0,70.0,70.0
3922,72,72.0,68.0,66.0,71.0,59.0,80.0
3923,72,67.0,63.0,71.0,72.0,67.0,70.0
3924,72,39.0,76.0,55.0,58.0,40.0,85.0
3925,72,77.0,53.0,66.0,71.0,69.0,69.0
3926,72,85.0,65.0,68.0,72.0,44.0,67.0
3927,72,71.0,71.0,64.0,69.0,34.0,72.0
3928,72,56.0,28.0,47.0,53.0,74.0,71.0
3929,72,75.0,71.0,70.0,72.0,45.0,66.0
3930,72,76.0,67.0,68.0,75.0,48.0,58.0
3931,72,79.0,68.0,68.0,72.0,26.0,69.0
3932,72,69.0,60.0,68.0,68.0,66.0,77.0
3933,72,67.0,52.0,58.0,69.0,71.0,74.0
3934,72,54.0,70.0,52.0,67.0,29.0,71.0
3935,72,90.0,65.0,62.0,77.0,26.0,57.0
3936,72,75.0,67.0,72.0,72.0,45.0,64.0
3937,72,64.0,71.0,52.0,67.0,38.0,82.0
3938,72,62.0,69.0,56.0,64.0,32.0,81.0
3939,72,33.0,49.0,46.0,44.0,71.0,78.0
3940,72,78.0,72.0,62.0,70.0,27.0,71.0
3941,72,59.0,74.0,56.0,66.0,40.0,77.0
3942,72,71.0,60.0,67.0,72.0,66.0,77.0
3943,72,69.0,71.0,49.0,70.0,25.0,70.0
3944,72,69.0,36.0,57.0,48.0,72.0,70.0
3945,72,65.0,26.0,51.0,54.0,74.0,68.0
3946,72,87.0,67.0,64.0,74.0,34.0,46.0
3947,72,57.0,74.0,56.0,65.0,40.0,73.0
3949,72,81.0,41.0,57.0,66.0,67.0,71.0
3950,72,75.0,57.0,62.0,69.0,68.0,81.0
3951,72,70.0,72.0,63.0,65.0,32.0,66.0
3952,72,71.0,68.0,66.0,73.0,36.0,61.0
3953,72,67.0,59.0,66.0,71.0,71.0,76.0
3954,72,73.0,58.0,62.0,67.0,70.0,76.0
3955,72,85.0,71.0,62.0,73.0,38.0,69.0
3956,72,76.0,72.0,60.0,68.0,35.0,73.0
3957,72,64.0,70.0,63.0,66.0,36.0,74.0
3958,72,30.0,40.0,53.0,46.0,73.0,76.0
3959,72,37.0,42.0,56.0,55.0,73.0,84.0
3960,72,80.0,61.0,73.0,76.0,65.0,76.0
3961,72,88.0,42.0,60.0,69.0,67.0,74.0
3962,72,76.0,61.0,69.0,71.0,66.0,63.0
3963,72,77.0,65.0,65.0,75.0,52.0,64.0
3964,72,79.0,61.0,71.0,74.0,39.0,49.0
3966,72,74.0,48.0,63.0,71.0,69.0,77.0
3967,72,72.0,69.0,66.0,75.0,49.0,65.0
3968,72,45.0,31.0,43.0,49.0,74.0,73.0
3969,72,69.0,69.0,63.0,69.0,66.0,84.0
3970,72,63.0,64.0,69.0,73.0,60.0,75.0
3971,72,84.0,65.0,66.0,73.0,36.0,65.0
3972,72,74.0,62.0,69.0,72.0,65.0,72.0
3973,72,76.0,64.0,70.0,74.0,39.0,62.0
3974,72,71.0,66.0,71.0,72.0,52.0,69.0
3975,72,71.0,72.0,49.0,64.0,29.0,70.0
3977,72,69.0,66.0,72.0,73.0,43.0,60.0
3978,72,77.0,59.0,67.0,72.0,68.0,69.0
3979,72,84.0,62.0,67.0,74.0,34.0,66.0
3980,72,54.0,47.0,60.0,60.0,72.0,81.0
3981,72,52.0,51.0,53.0,52.0,73.0,75.0
3982,72,67.0,54.0,64.0,68.0,72.0,80.0
3983,72,81.0,68.0,61.0,71.0,31.0,68.0
3984,72,77.0,66.0,65.0,76.0,24.0,46.0
3985,72,79.0,46.0,57.0,65.0,69.0,72.0
3986,72,71.0,71.0,54.0,69.0,32.0,78.0
3987,72,74.0,60.0,63.0,68.0,69.0,71.0
3988,72,44.0,34.0,50.0,46.0,69.0,79.0
3989,72,82.0,66.0,68.0,72.0,56.0,66.0
3991,72,85.0,53.0,68.0,72.0,66.0,65.0
3992,72,83.0,56.0,66.0,71.0,69.0,66.0
3993,72,80.0,58.0,68.0,72.0,63.0,71.0
3994,72,65.0,40.0,60.0,62.0,72.0,81.0
3995,72,91.0,68.0,62.0,75.0,33.0,66.0
3996,72,60.0,54.0,58.0,53.0,71.0,78.0
3997,72,72.0,68.0,69.0,73.0,46.0,73.0
3998,72,85.0,63.0,71.0,73.0,38.0,49.0
3999,72,66.0,61.0,70.0,73.0,39.0,55.0
4000,72,86.0,70.0,73.0,77.0,37.0,54.0
4001,72,82.0,67.0,62.0,73.0,25.0,64.0
4002,72,81.0,69.0,58.0,76.0,29.0,50.0
4003,72,72.0,76.0,61.0,64.0,36.0,62.0
4004,72,69.0,74.0,60.0,71.0,29.0,56.0
4005,72,80.0,45.0,59.0,61.0,70.0,62.0
4006,72,74.0,44.0,64.0,62.0,71.0,70.0
4007,72,72.0,50.0,69.0,60.0,72.0,74.0
4008,72,49.0,44.0,53.0,49.0,70.0,81.0
4009,72,65.0,47.0,68.0,56.0,73.0,71.0
4010,72,62.0,53.0,63.0,63.0,70.0,76.0
4011,72,51.0,46.0,67.0,64.0,74.0,66.0
4012,72,66.0,55.0,69.0,67.0,73.0,63.0
4013,72,68.0,45.0,62.0,67.0,73.0,78.0
4014,72,73.0,55.0,71.0,71.0,73.0,66.0
4015,72,72.0,47.0,66.0,61.0,72.0,77.0
4016,72,70.0,62.0,72.0,73.0,43.0,56.0
4017,72,76.0,54.0,73.0,77.0,41.0,47.0
4018,72,69.0,63.0,73.0,72.0,37.0,56.0
4019,72,63.0,65.0,74.0,75.0,24.0,58.0
4020,72,37.0,77.0,51.0,61.0,27.0,72.0
4021,72,82.0,63.0,60.0,74.0,25.0,62.0
4022,72,69.0,61.0,61.0,70.0,75.0,66.0
4023,72,68.0,66.0,68.0,76.0,41.0,65.0
4024,72,75.0,67.0,69.0,70.0,68.0,81.0
4025,72,70.0,70.0,67.0,74.0,32.0,65.0
4026,72,43.0,43.0,58.0,52.0,69.0,89.0
4027,72,76.0,59.0,63.0,69.0,69.0,67.0
4028,72,75.0,72.0,60.0,67.0,32.0,70.0
4029,72,49.0,32.0,49.0,48.0,70.0,79.0
4030,72,73.0,69.0,66.0,75.0,27.0,62.0
4031,72,61.0,64.0,70.0,70.0,54.0,59.0
4032,72,81.0,63.0,69.0,74.0,45.0,62.0
4033,72,74.0,64.0,70.0,74.0,67.0,76.0
4034,72,86.0,56.0,59.0,71.0,70.0,70.0
4035,72,78.0,54.0,69.0,71.0,58.0,61.0
4036,72,76.0,45.0,63.0,70.0,69.0,63.0
4037,72,57.0,65.0,75.0,70.0,67.0,62.0
4038,72,77.0,63.0,67.0,74.0,34.0,62.0
4039,72,70.0,50.0,64.0,51.0,72.0,74.0
4040,72,62.0,36.0,62.0,62.0,72.0,76.0
4041,71,63.0,29.0,57.0,55.0,71.0,72.0
4042,71,65.0,57.0,73.0,76.0,54.0,46.0
4043,71,78.0,54.0,67.0,77.0,43.0,58.0
4044,71,79.0,61.0,66.0,75.0,34.0,67.0
4045,71,69.0,43.0,58.0,63.0,67.0,76.0
4046,71,86.0,61.0,60.0,77.0,30.0,43.0
4047,71,68.0,59.0,70.0,68.0,69.0,69.0
4048,71,51.0,51.0,64.0,64.0,69.0,82.0
4049,71,66.0,68.0,69.0,73.0,57.0,67.0
4050,71,73.0,65.0,70.0,71.0,52.0,60.0
4051,71,78.0,66.0,66.0,74.0,37.0,63.0
4052,71,55.0,37.0,54.0,59.0,69.0,81.0
4053,71,84.0,50.0,57.0,64.0,68.0,82.0
4054,71,64.0,29.0,50.0,55.0,71.0,70.0
4055,71,77.0,52.0,64.0,71.0,67.0,75.0
4056,71,70.0,67.0,67.0,75.0,50.0,60.0
4057,71,58.0,31.0,53.0,51.0,73.0,72.0
4058,71,82.0,68.0,62.0,75.0,34.0,60.0
4059,71,82.0,56.0,61.0,67.0,67.0,73.0
4060,71,72.0,48.0,61.0,67.0,71.0,70.0
4061,71,88.0,69.0,49.0,68.0,36.0,60.0
4062,71,74.0,44.0,58.0,64.0,68.0,77.0
4063,71,77.0,51.0,67.0,67.0,67.0,78.0
4064,71,60.0,30.0,50.0,57.0,71.0,65.0
4065,71,90.0,55.0,61.0,75.0,65.0,63.0
4066,71,65.0,39.0,60.0,60.0,71.0,76.0
4067,71,75.0,62.0,63.0,74.0,42.0,64.0
4068,71,80.0,40.0,61.0,73.0,67.0,65.0
4069,71,79.0,36.0,63.0,70.0,67.0,70.0
4070,71,84.0,58.0,57.0,73.0,68.0,72.0
4071,71,91.0,67.0,52.0,70.0,23.0,71.0
4072,71,86.0,58.0,69.0,75.0,61.0,81.0
4073,71,63.0,32.0,51.0,57.0,73.0,63.0
4074,71,69.0,66.0,70.0,75.0,65.0,73.0
4075,71,67.0,57.0,62.0,62.0,70.0,67.0
4076,71,73.0,71.0,60.0,67.0,44.0,67.0
4077,71,73.0,43.0,64.0,68.0,69.0,68.0
4078,71,68.0,51.0,65.0,75.0,71.0,59.0
4079,71,72.0,57.0,66.0,73.0,70.0,69.0
4080,71,78.0,70.0,52.0,69.0,34.0,66.0
4081,71,77.0,53.0,70.0,73.0,60.0,63.0
4082,71,71.0,33.0,45.0,59.0,69.0,75.0
4083,71,74.0,59.0,66.0,69.0,67.0,74.0
4084,71,63.0,54.0,50.0,52.0,70.0,76.0
4085,71,71.0,54.0,71.0,80.0,37.0,51.0
4086,71,65.0,33.0,53.0,59.0,71.0,72.0
4087,71,60.0,52.0,68.0,71.0,60.0,75.0
4088,71,79.0,71.0,57.0,65.0,26.0,72.0
4089,71,86.0,67.0,61.0,74.0,32.0,55.0
4090,71,61.0,32.0,42.0,52.0,70.0,74.0
4091,71,85.0,72.0,66.0,71.0,36.0,61.0
4092,71,62.0,35.0,48.0,58.0,70.0,69.0
4093,71,85.0,69.0,60.0,76.0,31.0,63.0
4094,71,67.0,60.0,73.0,71.0,44.0,58.0
4095,71,84.0,63.0,60.0,77.0,32.0,63.0
4096,71,82.0,55.0,69.0,79.0,51.0,52.0
4097,71,80.0,35.0,63.0,70.0,66.0,60.0
4098,71,69.0,71.0,72.0,71.0,65.0,70.0
4099,71,76.0,69.0,54.0,71.0,22.0,66.0
4100,71,72.0,66.0,66.0,71.0,66.0,73.0
4101,71,76.0,62.0,68.0,72.0,37.0,53.0
4102,71,65.0,68.0,73.0,76.0,23.0,35.0
4103,71,52.0,25.0,46.0,53.0,71.0,75.0
4104,71,84.0,69.0,54.0,72.0,20.0,83.0
4105,71,76.0,70.0,60.0,71.0,35.0,62.0
4106,71,75.0,59.0,66.0,78.0,35.0,58.0
4107,71,67.0,49.0,66.0,73.0,67.0,67.0
4108,71,80.0,64.0,65.0,74.0,39.0,64.0
4109,71,54.0,51.0,74.0,70.0,66.0,60.0
4110,71,66.0,68.0,66.0,73.0,51.0,70.0
4111,71,54.0,34.0,42.0,52.0,73.0,66.0
4112,71,67.0,72.0,59.0,69.0,25.0,66.0
4113,71,83.0,42.0,58.0,67.0,67.0,72.0
4114,71,40.0,27.0,43.0,49.0,70.0,76.0
4115,71,77.0,61.0,66.0,73.0,38.0,62.0
4116,71,74.0,59.0,69.0,75.0,67.0,58.0
4117,71,82.0,70.0,66.0,71.0,41.0,65.0
4118,71,65.0,57.0,70.0,69.0,68.0,65.0
4119,71,56.0,58.0,69.0,67.0,70.0,69.0
4120,71,77.0,67.0,69.0,72.0,65.0,76.0
4121,71,84.0,71.0,50.0,66.0,26.0,67.0
4122,71,69.0,36.0,55.0,65.0,71.0,74.0
4124,71,80.0,44.0,60.0,66.0,68.0,75.0
4125,71,79.0,66.0,70.0,70.0,35.0,60.0
4126,71,58.0,34.0,45.0,48.0,70.0,74.0
4127,71,65.0,71.0,56.0,63.0,28.0,74.0
4128,71,68.0,68.0,51.0,70.0,36.0,71.0
4129,71,67.0,29.0,66.0,69.0,71.0,70.0
4130,71,71.0,70.0,48.0,69.0,26.0,62.0
4131,71,60.0,51.0,64.0,63.0,67.0,82.0
4132,71,78.0,67.0,63.0,78.0,34.0,47.0
4133,71,70.0,49.0,64.0,68.0,67.0,71.0
4134,71,82.0,69.0,63.0,74.0,43.0,66.0
4135,71,77.0,68.0,60.0,72.0,31.0,59.0
4136,71,75.0,70.0,66.0,75.0,44.0,66.0
4137,71,77.0,67.0,62.0,77.0,30.0,62.0
4138,71,68.0,53.0,69.0,76.0,34.0,64.0
4139,71,80.0,62.0,67.0,74.0,25.0,61.0
4140,71,70.0,64.0,67.0,66.0,68.0,69.0
4142,71,81.0,64.0,65.0,76.0,30.0,55.0
4143,71,82.0,62.0,67.0,74.0,34.0,56.0
4144,71,84.0,59.0,66.0,74.0,45.0,65.0
4146,71,68.0,67.0,72.0,71.0,63.0,66.0
4147,71,85.0,60.0,64.0,73.0,38.0,63.0
4148,71,56.0,68.0,57.0,71.0,31.0,67.0
4149,71,76.0,30.0,51.0,58.0,70.0,75.0
4150,71,30.0,64.0,70.0,65.0,69.0,58.0
4152,71,62.0,63.0,70.0,69.0,60.0,60.0
4153,71,73.0,70.0,57.0,69.0,33.0,67.0
4154,71,74.0,66.0,66.0,78.0,42.0,60.0
4155,71,91.0,66.0,61.0,75.0,28.0,66.0
4156,71,64.0,69.0,58.0,66.0,29.0,68.0
4157,71,65.0,37.0,58.0,52.0,71.0,72.0
4158,71,76.0,67.0,70.0,72.0,56.0,66.0
4159,71,74.0,58.0,67.0,69.0,70.0,74.0
4160,71,67.0,70.0,68.0,72.0,49.0,63.0
4161,71,77.0,56.0,61.0,69.0,66.0,73.0
4162,71,78.0,53.0,65.0,71.0,67.0,75.0
4163,71,71.0,63.0,66.0,72.0,66.0,71.0
4164,71,81.0,66.0,63.0,74.0,24.0,66.0
4165,71,71.0,45.0,64.0,70.0,70.0,66.0
4166,71,73.0,56.0,66.0,66.0,67.0,80.0
4167,71,80.0,70.0,63.0,72.0,40.0,58.0
4168,71,82.0,46.0,59.0,71.0,68.0,71.0
4169,71,88.0,67.0,64.0,73.0,24.0,56.0
4170,71,73.0,66.0,65.0,73.0,42.0,54.0
4171,71,73.0,67.0,45.0,57.0,33.0,80.0
4172,71,80.0,70.0,49.0,74.0,20.0,63.0
4173,71,63.0,43.0,49.0,59.0,69.0,77.0
4174,71,32.0,45.0,54.0,44.0,72.0,74.0
4175,71,70.0,54.0,69.0,73.0,64.0,72.0
4176,71,77.0,67.0,70.0,70.0,64.0,73.0
4177,71,72.0,52.0,65.0,68.0,69.0,72.0
4178,71,73.0,65.0,68.0,72.0,28.0,58.0
4179,71,92.0,61.0,66.0,66.0,48.0,69.0
4180,71,92.0,65.0,52.0,74.0,38.0,65.0
4181,71,70.0,64.0,59.0,67.0,44.0,73.0
4182,71,73.0,56.0,62.0,70.0,67.0,77.0
4183,71,66.0,71.0,53.0,62.0,32.0,72.0
4184,71,61.0,45.0,66.0,66.0,67.0,75.0
4185,71,79.0,44.0,60.0,71.0,63.0,64.0
4186,71,77.0,60.0,65.0,71.0,65.0,71.0
4187,71,67.0,70.0,72.0,71.0,64.0,56.0
4190,71,87.0,54.0,63.0,74.0,63.0,66.0
4191,71,69.0,48.0,56.0,59.0,69.0,81.0
4192,71,66.0,70.0,54.0,67.0,26.0,65.0
4193,71,66.0,67.0,70.0,72.0,37.0,64.0
4194,71,77.0,70.0,53.0,72.0,25.0,61.0
4195,71,68.0,54.0,66.0,72.0,63.0,65.0
4196,71,83.0,50.0,67.0,71.0,64.0,72.0
4197,71,86.0,68.0,57.0,65.0,34.0,77.0
4198,71,68.0,72.0,44.0,62.0,26.0,75.0
4199,71,74.0,56.0,61.0,70.0,66.0,75.0
4200,71,64.0,62.0,65.0,68.0,65.0,74.0
4201,71,90.0,63.0,62.0,71.0,57.0,59.0
4202,71,73.0,67.0,69.0,71.0,61.0,65.0
4203,71,60.0,74.0,59.0,69.0,26.0,61.0
4204,71,67.0,34.0,40.0,49.0,69.0,74.0
4205,71,72.0,68.0,48.0,69.0,27.0,76.0
4206,71,75.0,36.0,60.0,68.0,68.0,67.0
4207,71,67.0,51.0,64.0,71.0,66.0,73.0
4208,71,65.0,26.0,58.0,63.0,71.0,72.0
4209,71,74.0,72.0,68.0,72.0,59.0,76.0
4210,71,52.0,33.0,52.0,56.0,71.0,74.0
4211,71,72.0,55.0,67.0,69.0,68.0,72.0
4212,71,85.0,61.0,60.0,80.0,28.0,49.0
4213,71,74.0,66.0,74.0,75.0,47.0,48.0
4214,71,63.0,71.0,52.0,66.0,33.0,64.0
4215,71,77.0,49.0,57.0,59.0,69.0,80.0
4216,71,72.0,60.0,68.0,66.0,67.0,63.0
4217,71,69.0,34.0,39.0,56.0,72.0,73.0
4219,71,75.0,70.0,60.0,67.0,41.0,77.0
4220,71,74.0,69.0,68.0,69.0,59.0,67.0
4221,71,79.0,68.0,68.0,74.0,33.0,55.0
4222,71,67.0,53.0,61.0,67.0,72.0,72.0
4223,71,75.0,67.0,66.0,72.0,36.0,69.0
4224,71,55.0,65.0,69.0,68.0,64.0,78.0
4225,71,66.0,46.0,54.0,57.0,71.0,74.0
4226,71,74.0,64.0,69.0,73.0,56.0,67.0
4227,71,59.0,30.0,47.0,54.0,68.0,78.0
4228,71,79.0,68.0,61.0,70.0,43.0,69.0
4229,71,81.0,56.0,69.0,71.0,66.0,67.0
4230,71,62.0,32.0,55.0,51.0,69.0,78.0
4231,71,52.0,31.0,47.0,50.0,71.0,75.0
4232,71,75.0,49.0,63.0,62.0,67.0,65.0
4233,71,70.0,48.0,63.0,63.0,68.0,79.0
4235,71,85.0,54.0,62.0,73.0,63.0,71.0
4236,71,61.0,42.0,59.0,62.0,72.0,71.0
4237,71,64.0,54.0,67.0,71.0,66.0,71.0
4238,71,83.0,68.0,53.0,66.0,30.0,76.0
4239,71,86.0,57.0,64.0,71.0,66.0,81.0
4240,71,85.0,63.0,66.0,74.0,55.0,77.0
4241,71,63.0,59.0,70.0,70.0,70.0,66.0
4242,71,78.0,43.0,59.0,71.0,66.0,76.0
4243,71,85.0,65.0,66.0,77.0,28.0,52.0
4244,71,76.0,58.0,66.0,71.0,69.0,61.0
4245,71,80.0,70.0,55.0,70.0,22.0,50.0
4246,71,65.0,48.0,65.0,67.0,73.0,74.0
4247,71,61.0,51.0,50.0,59.0,69.0,78.0
4248,71,49.0,36.0,57.0,60.0,74.0,79.0
4249,71,72.0,66.0,68.0,71.0,64.0,71.0
4252,71,63.0,39.0,51.0,58.0,69.0,77.0
4253,71,68.0,66.0,69.0,68.0,71.0,72.0
4254,71,82.0,51.0,64.0,71.0,68.0,73.0
4255,71,61.0,56.0,57.0,57.0,70.0,74.0
4256,71,76.0,72.0,62.0,72.0,36.0,63.0
4257,71,83.0,67.0,58.0,66.0,28.0,81.0
4259,71,91.0,67.0,63.0,77.0,35.0,68.0
4260,71,76.0,44.0,64.0,66.0,71.0,71.0
4261,71,77.0,63.0,69.0,76.0,39.0,58.0
4262,71,64.0,59.0,67.0,70.0,65.0,64.0
4263,71,78.0,69.0,60.0,70.0,34.0,75.0
4264,71,49.0,27.0,41.0,47.0,72.0,69.0
4265,71,52.0,47.0,71.0,64.0,63.0,72.0
4266,71,76.0,64.0,68.0,71.0,45.0,65.0
4267,71,89.0,69.0,65.0,74.0,35.0,60.0
4269,71,84.0,69.0,64.0,73.0,35.0,66.0
4270,71,77.0,60.0,70.0,74.0,49.0,57.0
4271,71,75.0,70.0,60.0,67.0,29.0,61.0
4272,71,73.0,65.0,66.0,77.0,33.0,46.0
4273,71,47.0,33.0,49.0,51.0,69.0,76.0
4274,71,65.0,69.0,73.0,72.0,34.0,57.0
4275,71,92.0,65.0,59.0,78.0,28.0,51.0
4276,71,82.0,70.0,64.0,75.0,31.0,53.0
4277,71,66.0,38.0,47.0,51.0,70.0,73.0
4278,71,66.0,58.0,66.0,65.0,63.0,68.0
4279,71,72.0,64.0,71.0,71.0,43.0,69.0
4280,71,90.0,65.0,62.0,73.0,46.0,64.0
4281,71,76.0,71.0,62.0,66.0,51.0,73.0
4282,71,77.0,62.0,67.0,71.0,32.0,64.0
4283,71,55.0,39.0,49.0,46.0,73.0,73.0
4284,71,68.0,41.0,58.0,58.0,71.0,71.0
4285,71,84.0,37.0,62.0,63.0,66.0,78.0
4286,71,69.0,28.0,59.0,61.0,70.0,77.0
4287,71,66.0,40.0,50.0,60.0,71.0,76.0
4288,71,44.0,29.0,46.0,43.0,72.0,69.0
4290,71,69.0,50.0,64.0,65.0,70.0,70.0
4292,71,69.0,43.0,65.0,67.0,68.0,70.0
4293,71,73.0,43.0,61.0,70.0,69.0,63.0
4294,71,69.0,59.0,70.0,69.0,69.0,71.0
4295,71,45.0,70.0,53.0,67.0,30.0,71.0
4296,71,45.0,53.0,50.0,47.0,70.0,80.0
4297,71,69.0,50.0,67.0,64.0,70.0,72.0
4298,71,48.0,34.0,46.0,52.0,71.0,80.0
4299,71,70.0,60.0,71.0,70.0,66.0,74.0
4300,71,65.0,56.0,56.0,56.0,70.0,78.0
4301,71,59.0,34.0,39.0,49.0,72.0,74.0
4302,71,64.0,43.0,49.0,59.0,70.0,76.0
4303,71,72.0,60.0,64.0,67.0,69.0,72.0
4304,71,84.0,67.0,71.0,74.0,64.0,65.0
4305,71,63.0,60.0,66.0,69.0,67.0,75.0
4306,71,52.0,28.0,41.0,51.0,71.0,78.0
4307,71,54.0,35.0,45.0,48.0,72.0,71.0
4308,71,64.0,22.0,42.0,38.0,70.0,81.0
4310,71,60.0,72.0,51.0,68.0,27.0,69.0
4311,71,65.0,33.0,51.0,55.0,73.0,71.0
4312,71,84.0,72.0,67.0,71.0,32.0,64.0
4313,71,77.0,47.0,69.0,71.0,67.0,71.0
4314,71,76.0,59.0,72.0,73.0,65.0,71.0
4315,71,66.0,72.0,55.0,65.0,26.0,73.0
4316,71,76.0,42.0,64.0,66.0,68.0,64.0
4317,71,69.0,48.0,61.0,66.0,67.0,71.0
4318,71,79.0,69.0,61.0,70.0,37.0,70.0
4320,71,54.0,33.0,45.0,51.0,70.0,75.0
4321,71,32.0,23.0,42.0,37.0,70.0,83.0
4322,71,65.0,70.0,48.0,64.0,26.0,77.0
4324,71,72.0,64.0,70.0,75.0,61.0,70.0
4325,71,76.0,70.0,59.0,67.0,29.0,69.0
